,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
421,Unnamed Property,Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,692,19508,4,3,2,135,158823.5294
422,Unnamed Property,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,1300,5538,1,3,3,72,84705.88235
423,Unnamed Property,111 Sector 10 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1110,7207,12,2,2,80,94117.64706
424,Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,670,6417,1,1,1,43,50588.23529
425,Balaji Symphony ,G Wing New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055,9668,17,2,2,102,120000
426,Unnamed Property,Plot No 87 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,675,9259,3,1,1,62.5,73529.41176
427,Trishul Terraces ,1802 Sector 20 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1000,35000,18,3,3,350,411764.7059
428,Lalani Grandeur ,1801 Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Carpet Area,410,30243,18,1,2,124,145882.3529
429,Unnamed Property,GuruTeg Bahadur Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,600,20833,6,2,2,125,147058.8235
430,Unnamed Property,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,750,7066,1,1,2,53,62352.94118
431,Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000,6800,3,2,2,68,80000
432,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1350,10370,8,2,2,140,164705.8824
433,Bhagwati Greens ,1501 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2150,16279,15,3,3,350,411764.7059
434,Unnamed Property,Kashigaon Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,580,12857,5,1,2,54,63529.41176
435,Hiranandani Eagleridge ,6001 Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,950,22631,6,3,3,215,252941.1765
436,Sudama Regency ,Khardipada Thane Mumbai,Khardipada Thane,1 to 5 Year,Ready To Move,Carpet Area,420,7380,5,1,1,31,36470.58824
437,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050,7619,28,2,2,80,94117.64706
438,Unnamed Property,Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1070,10280,7,2,2,110,129411.7647
439,Westin Eksar Gurukripa CHSL ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,611,32733,12,2,2,200,235294.1176
440,Anurag Residency ,111 Sector 9 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950,7368,5,2,2,70,82352.94118
441,Prabhu Anant ,Roadpali Navi Mumbai Mumbai,Roadpali Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,409,9902,4,1,1,40.5,47647.05882
442,Pragati Satkar Tower ,302 Katemanivali Mumbai Beyond Thane Mumbai,Katemanivali Mumbai,5 to 10 Year,Ready To Move,Built Up Area,710,5704,3,1,2,40.5,47647.05882
443,Kohinoor City Mumbai ,Phase 1 kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1341,23117,1,3,3,310,364705.8824
444,Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,879,6598,1,2,2,58,68235.29412
445,Unnamed Property,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100,5409,7,2,2,59.5,70000
446,Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675,9777,11,1,1,66,77647.05882
447,Unnamed Property,Ground Floor Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,450,17333,0,1,1,78,91764.70588
448,Unnamed Property,Rabale Navi Mumbai Mumbai,Rabale Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,480,25000,3,2,2,120,141176.4706
449,5P Bhagwati Heritage ,Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1225,9469,3,2,2,116,136470.5882
450,Jai Gurudeo Complex ,Sector 17 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1150,9217,5,2,2,106,124705.8824
451,Unnamed Property,Sector 58 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1110,22072,6,2,3,245,288235.2941
452,Hiranandani Castle Rock ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,778,41645,3,2,2,324,381176.4706
453,Om Shanti ,302 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,635,8818,3,1,1,56,65882.35294
454,Unnamed Property,Poonam Garden mira Road Unique Aurum Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,1090,10642,19,2,2,112,131764.7059
455,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055,8530,21,2,2,90,105882.3529
456,Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Carpet Area,852.77,8794,23,3,2,75,88235.29412
457,Varsha Balaji Darshan ,Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,8750,3,2,2,105,123529.4118
458,Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,950,17368,10,3,3,165,194117.6471
459,Hiranandani Fortune City ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400,13500,17,1,1,54,63529.41176
460,Vaishnavi Highlife ,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,700,10857,22,2,2,76,89411.76471
461,Unnamed Property,M G Complex Sector 14 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1450,21449,11,3,3,311,365882.3529
462,Ashar Edge ,Pokhran 2 Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,727,22696,27,2,2,165,194117.6471
463,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,798,7957,8,3,2,63.5,74705.88235
464,Unnamed Property,Near Kaka Dhaba Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,500,4000,3,1,1,22,25882.35294
465,Aaron Moreshwar complex ,Plot Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690,7681,6,1,1,53,62352.94118
466,Space India Alliance ,Walking From Station Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,680,8823,13,1,2,60,70588.23529
467,Space India Alliance ,New Project Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050,8380,13,2,2,88,103529.4118
468,Sun Bhoomi Heights ,Near Kk Cinema Sector 31 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1650,7575,5,3,3,125,147058.8235
469,Unnamed Property,Shahpur Mumbai Beyond Thane Mumbai,Shahapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100,2727,2,2,2,30,35294.11765
470,Nidhi Pramila Avenue ,Titwala Mumbai Beyond Thane Mumbai,Titwala Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650,5930,7,1,1,25.5,30000
471,Mahavir Kalpavruksha ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,430,13720,15,1,2,59,69411.76471
472,Unique Poonam Estate Cluster 2 ,180 Mira Road Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,1040,11057,18,2,2,115,135294.1176
473,Lok Sarita ,Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,520,20769,5,1,1,108,127058.8235
474,Aryan One ,A Wing Flat No 308 Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,758,4485,3,1,1,34,40000
475,Snow Drop ,IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,420,27380,4,1,2,115,135294.1176
476,Om Aditya Paraiso ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,670,6716,15,1,2,45,52941.17647
477,Unnamed Property,D 002 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,5 to 10 Year,Ready To Move,Built Up Area,578,3979,0,1,2,23,27058.82353
478,Vijay Galaxy ,1306 Vijay Nagari Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,650,17692,13,2,2,115,135294.1176
479,Lodha New Cuffe Parade ,3601 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395,20071,36,2,2,280,329411.7647
480,Unnamed Property,Ghodbunder Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,1450,12275,9,3,3,175,205882.3529
481,Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,700,7857,3,1,2,55,64705.88235
482,Raunak Delight ,Owale Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,575,8347,8,1,1,48,56470.58824
483,Raunak Unnathi Greens ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,660,7121,13,1,2,47,55294.11765
484,Puraniks Hometown ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,438,13470,10,1,2,59,69411.76471
485,Reliable Balaji Shrishti ,Sector 20 Roadpali Navi Mumbai Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1090,7889,6,2,2,86,101176.4706
486,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,405,7654,1,1,1,31,36470.58824
487,Budget Homes The Nest ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,270,22222,11,1,1,60,70588.23529
488,The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,935,6844,4,2,2,64,75294.11765
489,Unnamed Property,Lokpuram Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,565,11681,3,1,1,66,77647.05882
490,Satyam Heritage ,201 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1100,15454,2,2,2,170,200000
491,Sai Vihar CHS ,1003 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1164,9450,10,2,2,110,129411.7647
492,Rupa Suyash Park ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,7500,6,2,2,90,105882.3529
493,Silverlite 56 West ,Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,684,40204,1,2,3,275,323529.4118
494,Unnamed Property,Pokhran 2 Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,798,25689,26,2,2,205,241176.4706
495,Balaji Delta Tower 2 ,Sector 8 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1345,9442,6,2,2,127,149411.7647
496,Unnamed Property,Flat No A 1702 A Wing S V P Nagar Plot No 24 Mhada Versova Mumbai,Versova Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1010,21287,17,3,3,215,252941.1765
497,M K Fatima Heights ,Bhendi Bazaar South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460,28260,11,1,2,130,152941.1765
498,Unnamed Property,Mulund East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,480,22916,16,1,1,110,129411.7647
499,Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,540,12800,3,1,2,80,94117.64706
500,Lodha Palava City ,0000 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,764,8507,1,2,2,65,76470.58824
501,Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,900,31111,15,2,2,280,329411.7647
502,Unnamed Property,Gopinath Chowk Mahatma Phule Road Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1035,8212,6,2,2,85,100000
503,Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,569,13181,10,1,2,75,88235.29412
504,BM Bunch Berry ,105 Sai Nagar Mumbai,Sai Nagar,10+ Year,Ready To Move,Built Up Area,350,23571,1,1,1,82.5,97058.82353
505,Vijaya Heritage ,Central Avenue Road Near Diamond Garden Chembur Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1800,22166,10,3,3,399,469411.7647
506,Sukhsagar Residency ,B1 303 Anu Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,400,10000,3,1,1,45,52941.17647
507,Unnamed Property,Sector 1 Koparkhairane Sector 1 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Plot Area,200,34500,3,3,3,69,81176.47059
508,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,10+ Year,Ready To Move,Super Built Up Area,806,10669,2,2,2,86,101176.4706
509,Ravechi Height ,111 Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690,9202,11,1,2,63.5,74705.88235
510,Paradigm Ananda Residency ,Shivaji Nagar Mumbai,Shivaji Nagar,1 to 5 Year,Ready To Move,Carpet Area,665,27067,13,2,2,180,211764.7059
511,Unnamed Property,Near Kandarpada Talav Dahisar West Kandarpada Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,300,21666,2,1,1,65,76470.58824
512,Juhi Residency ,Sector 5 Kamothe Sector 5 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1200,13000,12,2,2,104,122352.9412
513,Gundecha Asta ,Sakinaka Mumbai,Sakinaka Mumbai,1 to 5 Year,Ready To Move,Carpet Area,900,22222,7,3,2,200,235294.1176
514,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390,9743,11,1,2,38,44705.88235
515,Aastha Palace ,Sector 16 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,725,11836,15,1,2,58,68235.29412
516,Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675,9555,6,1,1,64.5,75882.35294
517,Poonam Pallazo ,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,315,9523,1,1,1,30,35294.11765
518,Unnamed Property,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,5 to 10 Year,Ready To Move,Super Built Up Area,700,15230,3,2,2,99,116470.5882
519,Rekhi Sai Daffodils ,0000 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1080,7222,5,2,2,78,91764.70588
520,Vikas Ritz ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,602,11627,2,2,2,70,82352.94118
521,Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1300,16153,3,3,2,210,247058.8235
522,Hiranandani Jasper ,9001 Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,750,19333,9,2,2,145,170588.2353
523,Divya Heights ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060,5188,7,2,2,55,64705.88235
524,Urja Green Valley Feather ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700,5714,9,1,1,40,47058.82353
525,Saj Shrushti ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,620,4032,3,1,1,25,29411.76471
526,Unnamed Property,Sector 11 Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,750,28800,14,2,2,216,254117.6471
527,Unnamed Property,Malad West Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,711,15471,1,2,2,110,129411.7647
528,Unnamed Property,Near Sbi Bank Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,710,8239,9,1,1,58.5,68823.52941
529,Pushp Kalash Apartment ,Near Neelkanth Sweets Kamothe Sector 16 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1015,7192,11,2,2,73,85882.35294
530,Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1265,22134,22,3,3,280,329411.7647
531,Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,645,27131,21,2,2,175,205882.3529
532,Unnamed Property,Sector 5 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,515,11262,4,1,1,58,68235.29412
533,Shah Royale ,Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1040,13076,4,2,2,136,160000
534,Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,680,4852,4,1,1,33,38823.52941
535,Ajmera New Era ,Opp Kdmc Bus Depot Murbad Road Kalyan West Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,711,6615,6,1,2,48,56470.58824
536,Piramal Vaikunth ,3 Bhk New Flat Available Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Built Up Area,1670,17964,7,3,3,300,352941.1765
537,Hiranandani Atlantis ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,762,48556,16,2,2,370,435294.1176
538,Paradise Sai Solitaire ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2015,8684,10,3,3,175,205882.3529
539,Rustomjee Azziano ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Built Up Area,1048,15267,33,2,2,160,188235.2941
540,Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1135,25991,13,3,2,295,347058.8235
541,Earth Aditya Heights ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10476,13,2,2,110,129411.7647
542,Unnamed Property,501 Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,300,18333,5,1,1,55,64705.88235
543,Balaji Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1200,10583,18,2,2,127,149411.7647
544,Siddharth Geetanjali Sujay ,Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615,10526,9,3,3,170,200000
545,Windfield Keshav Winds ,Owe Village Navi Mumbai Mumbai,Village Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100,9046,16,2,2,99.5,117058.8235
546,Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,640,26250,2,1,1,168,197647.0588
547,Dosti Imperia ,3 Bhk Hill Facing Flat Available Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Built Up Area,1835,14604,22,3,3,268,315294.1176
548,Shital Tapovan Heights ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,670,8955,9,1,2,60,70588.23529
549,Navkaar Rabiya Residency ,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,525,4952,4,1,1,26,30588.23529
550,Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,580,6379,1,1,1,37,43529.41176
551,Unnamed Property,Sector 30 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,750,22666,13,2,2,170,200000
552,Cosmos Empress Park ,1104 Anand Nagar Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1050,10000,11,2,2,105,123529.4118
553,Unnamed Property,101 Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Plot Area,2700,27777,2,4,4,750,882352.9412
554,Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,384,36197,8,1,2,139,163529.4118
555,The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,665,6766,0,1,1,45,52941.17647
556,Marathon Nexzone ,000 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215,7160,28,2,2,87,102352.9412
557,Siddhivinayak Garima ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,980,5051,4,2,2,49.5,58235.29412
558,Unnamed Property,700 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1050,10285,15,2,2,108,127058.8235
559,Dnyaneshawari Apartments ,Sector 16 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,950,12105,7,2,2,115,135294.1176
560,Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,753,25763,14,2,3,194,228235.2941
561,Mallhar Bhimashankar Heights ,New Link Road Kandarpada Dahisar West Kandarpada Mumbai,Dahisar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,753,23904,19,2,2,180,211764.7059
562,Veda CHS ,IC Colony Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,420,21428,5,1,1,90,105882.3529
563,Chheda Palladium ,Borivali West Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,935,32085,13,3,3,300,352941.1765
564,Kohinoor Majestic ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,636,12421,6,2,1,79,92941.17647
565,Kings Court by TCJ Realty ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Carpet Area,765,10718,3,2,2,82,96470.58824
566,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Carpet Area,651,8448,1,2,2,55,64705.88235
567,Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1307,16220,4,2,2,212,249411.7647
568,Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1919,16466,6,3,3,316,371764.7059
569,Sai Prasad Residency ,704 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,665,9774,4,1,1,65,76470.58824
570,Indiabulls Greens ,007 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,891,7744,14,2,2,69,81176.47059
571,Unnamed Property,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,430,10813,3,1,2,46.5,54705.88235
572,Orovia Phase 1 ,121 Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,771,16083,3,2,2,124,145882.3529
573,Unnamed Property,Malad West Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1500,14000,7,4,4,210,247058.8235
